Date,Time,Name,Team,Enemy,Duration,Win,Spell1,Spell2,Kills,Deaths,Assists,CS,Gold,Item1,Item2,Item3,Item4,Item5,Item6,Team Ban 1,Team Ban 2,Team Ban 3,Enemy Ban 1,Enemy Ban 2,Enemy Ban 3
7/19/2013,18:00,Evaniskus,Velocity eSports,Team Vulcun,(38:32),1,Ignite,Flash,0,1,10,45,10.7k,Mejai's Soulstealer,Shurelya's Reverie,Ruby Sightstone,Sight Ward,Boots of Mobility - Homeguard,Empty,Elise,Ryze,Sona,Rumble,Nunu,Evelynn
7/19/2013,18:00,Sycho Sid,Team Vulcun,Velocity eSports,(38:32),0,Flash,Ignite,2,4,0,182,9.4k,Muramana,Mercury's Treads,Randuin's Omen,Sight Ward,Doran's Shield,Empty,Rumble,Nunu,Evelynn,Elise,Ryze,Sona
7/19/2013,18:00,Xmithie,Team Vulcun,Velocity eSports,(38:32),0,Smite,Flash,1,3,1,150,8.3k,Spirit of the Ancient Golem,Ninja Tabi,Runic Bulwark,Health Potion,Warden's Mail,Empty,Rumble,Nunu,Evelynn,Elise,Ryze,Sona
7/19/2013,18:00,mandatorycloud,Team Vulcun,Velocity eSports,(38:32),0,Flash,Ignite,1,4,3,338,12.3k,Bilgewater Cutlass,Muramana,Ionian Boots of Lucidity - Homeguard,Dagger,Iceborn Gauntlet,Last Whisper,Rumble,Nunu,Evelynn,Elise,Ryze,Sona
7/19/2013,18:00,Zuna,Team Vulcun,Velocity eSports,(38:32),0,Flash,Barrier,0,5,4,273,10.8k,Blade of the Ruined King,Zeal,Last Whisper,Cloak of Agility,Berserker's Greaves,Pickaxe,Rumble,Nunu,Evelynn,Elise,Ryze,Sona
7/19/2013,18:00,BloodWater,Team Vulcun,Velocity eSports,(38:32),0,Flash,Exhaust,0,4,4,23,6k,Ruby Crystal,Ruby Sightstone,Health Potion,Sight Ward,Boots of Mobility,Empty,Rumble,Nunu,Evelynn,Elise,Ryze,Sona
7/25/2013,13:00,Vileroze,Velocity eSports,Cloud 9,(26:41),0,Flash,Ignite,3,4,2,111,7.3k,Doran's Shield,Cloth Armor,Mercury's Treads,Giant's Belt,Hexdrinker,Spirit Visage,Zed,Jayce,Elise,Lee Sin,Shen,Kayle
7/25/2013,13:00,Nk Inc,Velocity eSports,Cloud 9,(26:41),0,Flash,Smite,1,5,4,81,6.3k,Spirit of the Ancient Golem,Ninja Tabi,Null-Magic Mantle,Null-Magic Mantle,Ruby Crystal,Empty,Zed,Jayce,Elise,Lee Sin,Shen,Kayle
7/25/2013,13:00,ecco,Velocity eSports,Cloud 9,(26:41),0,Barrier,Flash,0,4,4,169,8.2k,Doran's Ring,Lich Bane,Twin Shadows,Crystalline Flask,Doran's Ring,Boots of Swiftness,Zed,Jayce,Elise,Lee Sin,Shen,Kayle
7/25/2013,13:00,maplestreet,Velocity eSports,Cloud 9,(26:41),0,Barrier,Flash,1,3,0,223,9k,Doran's Blade,B.F. Sword,Health Potion,Berserker's Greaves,Last Whisper,The Bloodthirster,Zed,Jayce,Elise,Lee Sin,Shen,Kayle
